Name,Artist,Album,Release Date,Popularity,Explicit,Duration (ms),Track ID,Spotify URL
My Place - Album Version (Edited),Nelly,Sweatsuit,2005-11-25,0,False,336760,1CgCFwJImuwq6ez68fNfqm,https://open.spotify.com/track/1CgCFwJImuwq6ez68fNfqm
Rich Girl,Gwen Stefani,Love Angel Music Baby,2004-10-27,0,False,236213,39qcvV4f0uqDMHxIkSb7tE,https://open.spotify.com/track/39qcvV4f0uqDMHxIkSb7tE
Soldier (feat. T.I. & Lil' Wayne),Destiny's Child,Destiny Fulfilled,2004-11-16,61,False,325573,4FTOpNYcGxnQdGNWSxIcio,https://open.spotify.com/track/4FTOpNYcGxnQdGNWSxIcio
Only U - No Intro,Ashanti,Concrete Rose,2004-01-01,62,False,186306,3sckKKIx96cjPXtiqPHCTB,https://open.spotify.com/track/3sckKKIx96cjPXtiqPHCTB
I Want You,Janet Jackson,Damita Jo,2004-01-01,41,False,252773,0asiXYLtkLysGJTFdYs0My,https://open.spotify.com/track/0asiXYLtkLysGJTFdYs0My
Burn,USHER,Confessions (Expanded Edition),2004-03-23,74,False,231933,7z3N2W7Xz1t2G2sAO8wFVH,https://open.spotify.com/track/7z3N2W7Xz1t2G2sAO8wFVH
Some Cut (feat. Cutty),Trillville,The Crunk Recordings: Hits From The Pioneers And Players Of Crunk,2009-06-16,45,True,283386,71mDjdeVK9sqXmamMHaAfX,https://open.spotify.com/track/71mDjdeVK9sqXmamMHaAfX
U Make Me Wanna - Album Version (Edited),Jadakiss,Kiss Of Death,2004-01-01,27,False,295466,1Cln20RNZRRd3l6KZCQOct,https://open.spotify.com/track/1Cln20RNZRRd3l6KZCQOct
Balla Baby - Radio Edit,Chingy,PowerBallin',2004-01-01,49,False,215906,6HFXjB2fvQUBuE3B5kmvfW,https://open.spotify.com/track/6HFXjB2fvQUBuE3B5kmvfW
Breathe,Fabolous,Real Talk,2004-10-11,34,False,269026,503dZSjOaSiYxAvYjj0yQ1,https://open.spotify.com/track/503dZSjOaSiYxAvYjj0yQ1
I Can't Wait - Album Version (Edited),Sleepy Brown,Barbershop 2 (Back In Business),2004-01-01,0,False,272893,2biaEsOaCmHllLr9xQBtJy,https://open.spotify.com/track/2biaEsOaCmHllLr9xQBtJy
She Wants To Move,N.E.R.D,Fly Or Die,2004-01-01,56,False,213786,4Vqd7MuPVrciqRS3EzhKWb,https://open.spotify.com/track/4Vqd7MuPVrciqRS3EzhKWb
Caught Up,USHER,Confessions (Expanded Edition),2004-03-23,65,False,224640,5zdUc1JRCImBYcDWgvFNpE,https://open.spotify.com/track/5zdUc1JRCImBYcDWgvFNpE
I Wanna Thank Ya - Without Rap,Angie Stone,Stone Love,2004-06-24,26,False,193733,6GdGFXcbF2HcKHvAxmWaI4,https://open.spotify.com/track/6GdGFXcbF2HcKHvAxmWaI4
Who Is She 2 U - Recall Version,Brandy,Afrodisiac,2004,40,False,283280,5jSAfX8SJVD5uzFyLlTVwo,https://open.spotify.com/track/5jSAfX8SJVD5uzFyLlTVwo
Read Your Mind,Avant,Private Room,2003-01-01,56,False,263506,6cR1U61DMpYbS2TtNTlSvo,https://open.spotify.com/track/6cR1U61DMpYbS2TtNTlSvo
Can't Let You Go (feat. Mike Shorey & Lil' Mo),Fabolous,Street Dreams,2003-01-14,40,False,222506,7HTI8XgkwHpq2Imw6kU6RE,https://open.spotify.com/track/7HTI8XgkwHpq2Imw6kU6RE
